RegionID,RegionName,State,HomeType,Bedrooms,Tier,Latest_ZHVI
102001,United States,,sfr+condo,,0.0_0.33,192208.50468059097
394913,"New York, NY",NY,sfr+condo,,0.0_0.33,475685.2374440881
753899,"Los Angeles, CA",CA,sfr+condo,,0.0_0.33,660592.9229061761
394463,"Chicago, IL",IL,sfr+condo,,0.0_0.33,214703.2033105737
394514,"Dallas, TX",TX,sfr+condo,,0.0_0.33,244908.96357693672
394692,"Houston, TX",TX,sfr+condo,,0.0_0.33,204418.67265803684
395209,"Washington, DC",VA,sfr+condo,,0.0_0.33,374407.9903124273
394974,"Philadelphia, PA",PA,sfr+condo,,0.0_0.33,221724.8244082143
394856,"Miami, FL",FL,sfr+condo,,0.0_0.33,257277.57051896365
394347,"Atlanta, GA",GA,sfr+condo,,0.0_0.33,253403.78560645357
394404,"Boston, MA",MA,sfr+condo,,0.0_0.33,501989.453399302
394976,"Phoenix, AZ",AZ,sfr+condo,,0.0_0.33,328170.02729939175
395057,"San Francisco, CA",CA,sfr+condo,,0.0_0.33,663916.6498982777
395025,"Riverside, CA",CA,sfr+condo,,0.0_0.33,417150.5941089845
394532,"Detroit, MI",MI,sfr+condo,,0.0_0.33,133015.62953037882
395078,"Seattle, WA",WA,sfr+condo,,0.0_0.33,505000.7773625384
394865,"Minneapolis, MN",MN,sfr+condo,,0.0_0.33,270994.0411340424
395056,"San Diego, CA",CA,sfr+condo,,0.0_0.33,655982.3360546118
395148,"Tampa, FL",FL,sfr+condo,,0.0_0.33,233434.25222421312
394530,"Denver, CO",CO,sfr+condo,,0.0_0.33,400533.7701106407
394358,"Baltimore, MD",MD,sfr+condo,,0.0_0.33,226576.34645063116
395121,"St. Louis, MO",MO,sfr+condo,,0.0_0.33,133965.2320653808
394943,"Orlando, FL",FL,sfr+condo,,0.0_0.33,264281.8706026477
394458,"Charlotte, NC",NC,sfr+condo,,0.0_0.33,249016.46092585367
395055,"San Antonio, TX",TX,sfr+condo,,0.0_0.33,176685.92273573577
394998,"Portland, OR",OR,sfr+condo,,0.0_0.33,408794.9319145072
395045,"Sacramento, CA",CA,sfr+condo,,0.0_0.33,425672.6446473445
394982,"Pittsburgh, PA",PA,sfr+condo,,0.0_0.33,117926.3456704808
394466,"Cincinnati, OH",OH,sfr+condo,,0.0_0.33,188906.9518324064
394355,"Austin, TX",TX,sfr+condo,,0.0_0.33,303333.39149017364
394775,"Las Vegas, NV",NV,sfr+condo,,0.0_0.33,314770.6374121687
394735,"Kansas City, MO",MO,sfr+condo,,0.0_0.33,185485.3638726383
394492,"Columbus, OH",OH,sfr+condo,,0.0_0.33,196358.6813719051
394705,"Indianapolis, IN",IN,sfr+condo,,0.0_0.33,178266.3824992798
394475,"Cleveland, OH",OH,sfr+condo,,0.0_0.33,138485.83752164774
395059,"San Jose, CA",CA,sfr+condo,,0.0_0.33,971330.130732143
394902,"Nashville, TN",TN,sfr+condo,,0.0_0.33,310251.85995889566
395194,"Virginia Beach, VA",VA,sfr+condo,,0.0_0.33,245732.81644007796
395005,"Providence, RI",RI,sfr+condo,,0.0_0.33,379379.593260429
394714,"Jacksonville, FL",FL,sfr+condo,,0.0_0.33,216122.8164742844
394862,"Milwaukee, WI",WI,sfr+condo,,0.0_0.33,229592.15279660435
394935,"Oklahoma City, OK",OK,sfr+condo,,0.0_0.33,145993.3972656961
395012,"Raleigh, NC",NC,sfr+condo,,0.0_0.33,303306.0934541004
394849,"Memphis, TN",TN,sfr+condo,,0.0_0.33,119824.68626283092
395022,"Richmond, VA",VA,sfr+condo,,0.0_0.33,262712.5048761496
394807,"Louisville, KY",KY,sfr+condo,,0.0_0.33,178809.91209096042
394910,"New Orleans, LA",LA,sfr+condo,,0.0_0.33,164372.94165360424
395053,"Salt Lake City, UT",UT,sfr+condo,,0.0_0.33,424486.0979767465
394669,"Hartford, CT",CT,sfr+condo,,0.0_0.33,274064.42534711835
394425,"Buffalo, NY",NY,sfr+condo,,0.0_0.33,185808.6905155778
394388,"Birmingham, AL",AL,sfr+condo,,0.0_0.33,115895.78936192724
395031,"Rochester, NY",NY,sfr+condo,,0.0_0.33,173732.41913101156
394640,"Grand Rapids, MI",MI,sfr+condo,,0.0_0.33,239997.09580110363
395167,"Tucson, AZ",AZ,sfr+condo,,0.0_0.33,251380.9237923253
753924,"Urban Honolulu, HI",HI,sfr+condo,,0.0_0.33,464598.77658205846
395169,"Tulsa, OK",OK,sfr+condo,,0.0_0.33,144471.09894935615
394619,"Fresno, CA",CA,sfr+condo,,0.0_0.33,290525.22905680374
395238,"Worcester, MA",MA,sfr+condo,,0.0_0.33,344642.8427672926
394938,"Omaha, NE",NE,sfr+condo,,0.0_0.33,194715.53914217223
394415,"Bridgeport, CT",CT,sfr+condo,,0.0_0.33,402178.73633480864
394653,"Greenville, SC",SC,sfr+condo,,0.0_0.33,188242.7840859161
394312,"Albuquerque, NM",NM,sfr+condo,,0.0_0.33,262144.0671026685
394357,"Bakersfield, CA",CA,sfr+condo,,0.0_0.33,256145.79455431303
394308,"Albany, NY",NY,sfr+condo,,0.0_0.33,242210.203554999
394753,"Knoxville, TN",TN,sfr+condo,,0.0_0.33,223112.95903475143
394367,"Baton Rouge, LA",LA,sfr+condo,,0.0_0.33,138149.6398790514
394843,"McAllen, TX",TX,sfr+condo,,0.0_0.33,117358.438021457
394908,"New Haven, CT",CT,sfr+condo,,0.0_0.33,278452.07396452216
394561,"El Paso, TX",TX,sfr+condo,,0.0_0.33,168817.28814405095
394318,"Allentown, PA",PA,sfr+condo,,0.0_0.33,245900.54249385497
